Hotels,Price,Reviews,Location
2. Sterling Puri,"₹10,726",4.5 of 5 bubbles,Puri
3. Pride Ananya Resort,"₹6,160",4.5 of 5 bubbles,Puri
4. Pramod Convention & Beach Resort,"₹8,525",4.5 of 5 bubbles,Puri
5. Toshali Sands,"₹7,580",4 of 5 bubbles,Puri
6. Hotel Holiday Resort,"₹6,384",4 of 5 bubbles,Puri
7. Seven Hills Hotel,"₹5,194",4.5 of 5 bubbles,Puri
8. Om Leisure Resort Puri,"₹7,499",4.5 of 5 bubbles,Puri
9. Hotel Gandhara,"₹3,359",4.5 of 5 bubbles,Puri
10. Mayfair Heritage,"₹13,806",4.5 of 5 bubbles,Puri
Sterling Puri,"₹9,125",4.5 of 5 bubbles,Puri
11. Hotel Jeevan Sandhya,"₹2,608",4.5 of 5 bubbles,Puri
12. Hotel Kakkson Villa,"₹1,944",3.5 of 5 bubbles,Puri
13. Nayak Beach Resort,"₹3,567",3.5 of 5 bubbles,Puri
14. Hotel Balaji International,"₹4,363",3.5 of 5 bubbles,Puri
15. Hotel Pushpa,"₹3,632",3.5 of 5 bubbles,Puri
Toshali Sands,"₹7,580",4 of 5 bubbles,Puri
16. The Pearl,"₹1,575",4 of 5 bubbles,Puri
17. Mayur Hotel,"₹1,891",4.5 of 5 bubbles,Puri
18. Treebo Trend Hotel Sidhartha International,"₹2,619",4 of 5 bubbles,Puri
19. Reba Beach Resort,"₹2,049",4 of 5 bubbles,Puri
20. Hotel Bensen,"₹3,136",4.5 of 5 bubbles,Puri
Seven Hills Hotel,"₹5,773",4.5 of 5 bubbles,Puri
21. Hotel Sapphire International,"₹2,601",3.5 of 5 bubbles,Puri
22. Asian Inn Beach Resort,"₹2,751",3.5 of 5 bubbles,Puri
23. Gold Coast Beach Resort,"₹2,873",3.5 of 5 bubbles,Puri
24. Hotel Janaki Residency,"₹1,850",3.5 of 5 bubbles,Puri
25. Hotel Kalinga,"₹1,406",3 of 5 bubbles,Puri
MAYFAIR Waves,"₹13,806",4.5 of 5 bubbles,Puri
26. OYO 6077 Hotel Ashraya,"₹1,197",3 of 5 bubbles,Puri
27. The Club Krishna Sea Sight,"₹2,674",4.5 of 5 bubbles,Puri
28. OYO 9090 Hotel Royal Annex,"₹1,506",4 of 5 bubbles,Puri
29. Hotel Sea Dream,₹989,2 of 5 bubbles,Puri
30. Pipul Hotels & Resorts,"₹63,427",4.5 of 5 bubbles,Puri
Om Leisure Resort Puri,"₹2,822",4.5 of 5 bubbles,Puri
Hotel Himdhara,"₹2,315",4 of 5 bubbles,Dalhousie
1. Grand View Hotel,"₹4,497",5 of 5 bubbles,Dalhousie
2. Fortune Park Dalhousie,"₹7,098",5 of 5 bubbles,Dalhousie
3. JK Clarks Exotica Dalhousie,"₹4,234",4.5 of 5 bubbles,Dalhousie
4. Indraprastha Resort,"₹5,459",4.5 of 5 bubbles,Dalhousie
5. Best Western Dalhousie,"₹5,506",5 of 5 bubbles,Dalhousie
Hotel AS Clarks Inn,"₹4,116",4 of 5 bubbles,Dalhousie
6. Snow Valley Resorts Dalhousie,"₹2,585",4 of 5 bubbles,Dalhousie
7. SS International Hotel and Spa,"₹2,723",5 of 5 bubbles,Dalhousie
8. Amara Blue Magnets,"₹1,843",4.5 of 5 bubbles,Dalhousie
9. Alps Resort Dalhousie,"₹3,599",4.5 of 5 bubbles,Dalhousie
10. Hotel Mount View,"₹3,582",4 of 5 bubbles,Dalhousie
Snow Valley Resorts Dalhousie,"₹2,874",4 of 5 bubbles,Dalhousie
"11. Mongas, Hotel & Resort!","₹3,449",4.5 of 5 bubbles,Dalhousie
12. Mastiff Hotel Dalhousie,"₹4,600",5 of 5 bubbles,Dalhousie
13. Satyam Int. by PINEBERRY HOTELS,"₹1,835",4 of 5 bubbles,Dalhousie
14. Zostel Dalhousie,"₹1,886",4.5 of 5 bubbles,Dalhousie
15. Brij Villa,"₹8,399",5 of 5 bubbles,Dalhousie
Lall Ji Tourist Resort,"₹3,907",3.5 of 5 bubbles,Dalhousie
16. Hotel SS Resorts Dalhousie,"₹2,980",4.5 of 5 bubbles,Dalhousie
17. Hotel Ark,"₹3,583",4 of 5 bubbles,Dalhousie
18. Mohan Palace Dalhousie,"₹2,520",4 of 5 bubbles,Dalhousie
19. Hotel Himgiri,"₹2,312",4 of 5 bubbles,Dalhousie
20. Dingle House,"₹2,240",4.5 of 5 bubbles,Dalhousie
Aaroham Resorts,"₹7,820",4.5 of 5 bubbles,Dalhousie
21. Hotel Surya Resort,"₹1,721",3.5 of 5 bubbles,Dalhousie
22. Hotel Pearl,"₹1,340",3.5 of 5 bubbles,Dalhousie
23. Hotel Valley View,"₹1,049",3.5 of 5 bubbles,Dalhousie
24. The Nesta Elements Dalhousie,"₹2,453",5 of 5 bubbles,Dalhousie
25. Dalhousie Valley,"₹3,360",4 of 5 bubbles,Dalhousie
Hotel Valley View,"₹1,191",3.5 of 5 bubbles,Dalhousie
26. Hotel Megha View,"₹1,505",4 of 5 bubbles,Dalhousie
27. Capital O 16870 Atithi Resort,"₹1,005",3.5 of 5 bubbles,Dalhousie
28. Dalhousie Palace Hotel,"₹1,792",3.5 of 5 bubbles,Dalhousie
29. Himalayan Camping,"₹2,871",4 of 5 bubbles,Dalhousie
30. Hotel Basera,"₹1,655",4 of 5 bubbles,Dalhousie
Amara Blue Magnets,"₹2,013",4.5 of 5 bubbles,Dalhousie
