R_name,R_rating,location
Illusion Lounge Bar,5.0,Dalhousie
Glory Hotel Restaurant,4.0,Dalhousie
Barista Cafe,5.0,Dalhousie
moti mahal restaurant,4.0,Dalhousie
Shiva Cafe,4.5,Dalhousie
Lovely Restaurant,3.5,Dalhousie
Big Chick Dalhousie,4.5,Dalhousie
CFC Eat and Treat,5.0,Dalhousie
Bawas Cafe,5.0,Dalhousie
Sip N Bite,5.0,Dalhousie
Manmahesh Rasoi Pure Vegetarian,4.0,Dalhousie
Old Sher E Punjab Restaurant,4.0,Dalhousie
Tangelo by Mastiff Dalhousie,5.0,Dalhousie
Barista Express,4.5,Dalhousie
Magic Tree Cafe,4.5,Dalhousie
The Kettle House Restaurant,4.0,Dalhousie
Stella Lounge Dalhousie,4.5,Dalhousie
city point fastfood,4.0,Dalhousie
Napoli Restaurant,4.0,Dalhousie
Forever Cafe,4.5,Dalhousie
Bunnys Resto Cafe,5.0,Dalhousie
Lalls Food Junction,4.0,Dalhousie
