H_name,H_price,H_rating,location
Holiday Inn Express Kolkata Airport an IHG Hotel,6159,5.0,Kolkata
Taj City Centre New Town,10620,4.5,Kolkata
ITC Royal Bengal a Luxury Collection Hotel Kolkata,14160,5.0,Kolkata
Vedic Village Spa Resort,8325,4.0,Kolkata
Siamton Inn,4634,4.5,Kolkata
The Lindsay,4117,3.5,Kolkata
Ethnotel,5376,4.0,Kolkata
The Park Kolkata,9416,4.5,Kolkata
Monotel Luxury Business Hotel,4155,4.5,Kolkata
Park Prime Kolkata,4366,4.0,Kolkata
Kempton Hotel,5885,4.0,Kolkata
Hotel Aston International,2231,4.0,Kolkata
Regenta Inn Larica,2441,4.0,Kolkata
The Lalit Great Eastern Kolkata,9440,5.0,Kolkata
Townhouse OAK Hotel Radiant,3687,4.0,Kolkata
Zone By The Park Kolkata,3709,4.0,Kolkata
The Elgin Fairlawn Kolkata,8400,4.0,Kolkata
The Moira Bed and Breakfast,6160,5.0,Kolkata
Palm Village Resort,1635,3.0,Kolkata
Ibis Kolkata Rajarhat,3919,4.5,Kolkata
Vivanta Chennai IT Expressway,7560,4.5,Chennai
Grand Chennai By GRT Hotels,8310,4.5,Chennai
The Park Chennai,7182,4.5,Chennai
The Leela Palace Chennai,13050,5.0,Chennai
Accord Chrome,4878,5.0,Chennai
Novotel Chennai Sipcot,4978,5.0,Chennai
GreenPark Chennai,8209,5.0,Chennai
Hyatt Regency Chennai,10088,4.5,Chennai
The Residency Towers Chennai,9418,4.5,Chennai
ibis Chennai Sipcot Hotel,3359,4.5,Chennai
The Raintree Hotel StMarys,7565,4.5,Chennai
The Accord Metropolitan,7889,4.5,Chennai
Novotel Chennai Sipcot,4978,5.0,Chennai
Novotel Chennai Chamiers Road,7832,5.0,Chennai
Vivanta Chennai IT Expressway,7560,4.5,Chennai
GreenPark Chennai,7571,5.0,Chennai
Clarion Hotel President,5152,4.0,Chennai
Citadines OMR Chennai,4760,4.5,Chennai
Welcomhotel by ITC Hotels Cathedral Road Chennai,7784,4.5,Chennai
The Residency,5017,4.5,Chennai
Radisson Blu Hotel Chennai City Centre,8344,4.5,Chennai
Hotel Southern Comfort,4112,4.0,Chennai
E Hotel,6159,4.5,Chennai
La Woods Hotel,4312,4.5,Chennai
The Kings Park Grand,4083,3.5,Chennai
Raj Park Chennai,2979,3.5,Chennai
Taj Club House,7056,4.5,Chennai
Harrisons Hotel,3149,3.5,Chennai
ibis Chennai OMR,3580,4.5,Chennai
VGP Golden Beach Resort,4641,3.0,Chennai
Taj Club House,7056,4.5,Chennai
Taj Wellington Mews Chennai,7280,4.5,Chennai
The Lotus Hotel Sameera,4536,4.0,Chennai
Hotel Park Elanza Nungambakkam,5039,4.0,Chennai
Fortel,4598,3.5,Chennai
The Kings Park Grand,3773,3.5,Chennai
The Raintree Hotel Anna Salai,7838,4.5,Chennai
Welcomhotel By ITC Hotels Shimla,12980,5.0,Shimla
Snow Valley Heights,5022,5.0,Shimla
Larisa Shimla,6048,5.0,Shimla
The Oberoi Cecil Shimla,15340,5.0,Shimla
Welcomhotel By ITC Hotels Shimla,12980,5.0,Shimla
Marigold Sarovar Portico Shimla,4367,4.5,Shimla
Radisson Jass Shimla,10030,4.0,Shimla
Snow Valley Resorts,4659,4.5,Shimla
The Orchid Shimla,6303,5.0,Shimla
The Manor Luxury Service Apartments,10531,5.0,Shimla
Hotel Silverine,2847,4.0,Shimla
Clarkes Hotel,9735,4.5,Shimla
Snow Valley Heights,5286,5.0,Shimla
Honeymoon Inn Shimla,5376,4.5,Shimla
Shimla British Resort,3104,4.0,Shimla
Hotel Willow Banks,7755,4.0,Shimla
Hotel Combermere,5608,4.0,Shimla
Woodville Palace Hotel,4676,3.5,Shimla
East Bourne Resort Spa,16302,4.0,Shimla
The Bodhi Tree BNB,2490,4.5,Shimla
Ashiana Clarks Inn,2946,4.0,Shimla
HPTDC Hotel Holiday Home,2900,3.5,Shimla
Hotel Baljees Regency,4175,4.5,Shimla
Royale Retreat,5723,4.5,Shimla
Honeymoon Inn Shimla,5376,4.5,Shimla
The Legacy Shimla,2569,3.5,Shimla
Koti Resort,3780,4.0,Shimla
Summit Le Royale Hotel Shimla,3902,4.5,Shimla
The Hosteller Kufri Shimla,1783,4.5,Shimla
Treebo Trend Varuna,3098,3.5,Shimla
Snow Valley Resorts,4201,4.5,Shimla
The Cedar Grand Hotel Spa,7660,4.0,Shimla
Aachman Nature Valley Resort,2015,4.0,Shimla
Hotel Himalayan Escape,1862,4.0,Shimla
Hotel Windsor,2107,4.0,Shimla
Hotel Chaman Palace,1240,3.5,Shimla
Hotel Marina,12744,4.0,Shimla
ITC Gardenia a Luxury Collection Hotel Bengaluru,29430,5.0,Bengaluru
Davanam Sarovar Portico Suites,6247,4.5,Bengaluru
Angsana Oasis Spa Resort,10726,4.5,Bengaluru
Hotel Royal Orchid Bangalore,11084,4.5,Bengaluru
Palm Meadows Resort,10767,4.5,Bengaluru
Royal Orchid Resort Convention Centre,13443,4.5,Bengaluru
Welcomhotel by ITC Hotels Richmond Road Bengaluru,17228,4.5,Bengaluru
The Lalit Ashok,12574,4.5,Bengaluru
Sarovar Portico Outer Ring Road Bengaluru,4842,5.0,Bengaluru
Radisson Blu Hotel Bengaluru Outer Ring Road,12319,4.5,Bengaluru
Grand Mercure Bengaluru at Gopalan Mall,16461,5.0,Bengaluru
The Chancery Pavilion,22302,4.0,Bengaluru
The Park Bangalore,17464,4.5,Bengaluru
Royal Orchid Central,12462,4.5,Bengaluru
Lemon Tree Hotel Whitefield Bengaluru,14991,4.5,Bengaluru
Olive Whitefield By Embassy Group,3359,5.0,Bengaluru
Wonderla Resort,6720,4.5,Bengaluru
Welcomhotel by ITC Hotels Richmond Road Bengaluru,17228,4.5,Bengaluru
Signature Club Resort,6113,4.5,Bengaluru
Svenska Design Hotel,4951,4.5,Bengaluru
Gokulam Grand Hotel Spa,7335,4.5,Bengaluru
ibis Bengaluru City Centre,8298,4.5,Bengaluru
Bloom Hotel Bengaluru Airport,4469,5.0,Bengaluru
The RitzCarlton Bangalore,79945,4.5,Bengaluru
Our Native Village Eco Resort,6854,4.0,Bengaluru
The Windflower Prakruthi Bangalore,10170,4.0,Bengaluru
Holiday Village,3621,4.0,Bengaluru
The Waverly Hotel Residences,5809,4.5,Bengaluru
Shivas Gateway,2694,4.0,Bengaluru
ITC Gardenia a Luxury Collection Hotel Bengaluru,29430,5.0,Bengaluru
The Signature Inn,1260,4.0,Bengaluru
The Elanza Hotel,5669,4.5,Bengaluru
Clarks Inn Bangalore,1662,5.0,Bengaluru
Attide Biz,2855,5.0,Bengaluru
Springs Hotel Spa,3022,4.0,Bengaluru
Destiny The Farm Resort,13844,4.5,Ooty
Sterling Ooty Elk Hill,9027,4.5,Ooty
Gem ParkOoty,9177,4.5,Ooty
Accord Highland Hotel Ooty,5757,4.5,Ooty
Sterling Ooty Fern Hill,9027,4.5,Ooty
Destiny The Farm Resort,13844,4.5,Ooty
Accord Highland Hotel Ooty,6363,4.5,Ooty
Sinclairs Retreat Ooty,4838,4.5,Ooty
Sherlock Hotel,5667,4.5,Ooty
Meadows Residency,6048,4.5,Ooty
Hotel Lakeview,2745,3.5,Ooty
Kings Cliff,7529,4.5,Ooty
Ponmari Residencyy,2683,4.5,Ooty
Vinayaga Inn by Poppys,2352,4.5,Ooty
Ponmari Residencyy,2385,4.5,Ooty
La Montana by TGI,5673,4.5,Ooty
Woodberry Residency,1902,4.5,Ooty
La Flora Amberley Resort,2175,4.0,Ooty
Sinclairs Retreat Ooty,5218,4.5,Ooty
Fairstay Ooty,2102,4.0,Ooty
Yantra Resort By Spree,3315,4.0,Ooty
Tulips Elkhill Resorts,7937,3.5,Ooty
Rosewood By Nature Resorts,3898,5.0,Ooty
Vinnca West Downs Heritage Resort,9617,4.0,Ooty
Hotel Lakeview,3090,3.5,Ooty
Mango Hill Central Ooty,3228,4.5,Ooty
Astoria Residency,2800,4.0,Ooty
Hotel Welbeck Residency,3115,4.0,Ooty
Tranqville Resorts,3139,5.0,Ooty
Sabol Holiday Resorts,3237,4.0,Ooty
WelcomHeritage Ferrnhills Royale Palace,13877,3.5,Ooty
Berry Hills Resort,2231,4.0,Ooty
Fortune Retreats Resorts Ooty,6856,4.0,Ooty
Beverly villa,3360,4.0,Ooty
Space Resorts,4760,3.5,Ooty
Tulips Valley View Resorts,2321,3.5,Ooty
Sterling Ooty Fern Hill,7022,4.5,Ooty
Lakeside Inn,5997,3.5,Nainital
Sterling Nainital,5789,4.5,Nainital
Shervani Hilltop Nainital,11586,4.5,Nainital
Cygnett Resort Mountain Breeze,4150,4.5,Nainital
Seasons Hotel and Resort,6271,4.5,Nainital
The Earls Court by Leisure Hotels Group,9558,4.5,Nainital
Seasons Hotel and Resort,6984,4.5,Nainital
WelcomHeritage Ashdale,10620,5.0,Nainital
Hotel Himalaya,3192,3.5,Nainital
Swiss Hotel Spa,13570,5.0,Nainital
The Pavilion,3618,4.0,Nainital
Lakeside Inn,5593,3.5,Nainital
Seasons Hotel and Resort,6984,4.5,Nainital
Country Inn Tarika Resort Jim Corbett,6804,4.5,Nainital
Hotel La Niwasa by Shivraj,5001,4.5,Nainital
The Palace Belvedere,3598,4.0,Nainital
Hotel Aroma,2317,4.5,Nainital
The Pinewood Nainital by Leisure Hotels Group,3226,4.5,Nainital
The Naini Retreat by Leisure Hotels Group,17252,4.5,Nainital
The Imperial Green,5250,4.5,Nainital
Ayar Jungle Resort,7122,4.0,Nainital
The Hive Cottage,6720,4.5,Nainital
Hotel Mount N Lake,1270,3.0,Nainital
Goroomgo Radha Continental Nainital,1591,3.0,Nainital
Hotel Himalaya,3192,3.5,Nainital
OYO Flagship View Point Resort,1841,4.0,Nainital
Hotel Suman Paradise,3894,4.0,Nainital
goSTOPS Nainital,2240,5.0,Nainital
Himalayan Retreat Neelkanth,2980,4.0,Nainital
Kafal Resort,3593,4.0,Nainital
Cygnett Resort Mountain Breeze,4150,4.5,Nainital
H K Legacy,1278,4.0,Nainital
Goroomgo Lake View Mall Road Nainital,1255,2.5,Nainital
Hotel Happy Home The Lake Paradise,2127,1.0,Nainital
The Naini Retreat by Leisure Hotels Group,17825,4.5,Nainital
The Manu Maharani,17110,4.5,Nainital
WelcomHeritage Ashdale,10620,5.0,Nainital
Singtom Tea Estate Resort,7840,4.5,Darjeeling
Sinclairs Darjeeling,4225,4.5,Darjeeling
Udaan Himalayan Suites and Spa,2910,5.0,Darjeeling
Sumi Yashshree Suites Spa,3904,4.5,Darjeeling
Sterling Darjeeling,5618,4.0,Darjeeling
Mayfair Darjeeling,10266,4.5,Darjeeling
Summit Swiss Heritage Hotel Spa,4115,4.0,Darjeeling
Sumitel Suites Spa by Sumi Yashshree,3038,5.0,Darjeeling
Udaan Dekeling Resort Darjeeling,3465,4.5,Darjeeling
Ramada by Wyndham Darjeeling Gandhi Road,6384,4.5,Darjeeling
Summit Hermon Hotel Spa,3820,4.5,Darjeeling
Singtom Tea Estate Resort,7840,4.5,Darjeeling
Viceroy Hotel,5508,4.0,Darjeeling
Mount Conifer Suites Spa,5706,4.5,Darjeeling
Summit Grace Hotel Spa,3717,4.0,Darjeeling
Zambala Retreat Spa Darjeeling By Anant Groups of Hotels,2835,4.5,Darjeeling
Singtom Tea Estate Resort,7840,4.5,Darjeeling
Sinclairs Darjeeling,4665,4.5,Darjeeling
Shangrila Regency,2619,4.0,Darjeeling
Central Heritage Resort and Spa Darjeeling,2364,3.5,Darjeeling
The Elgin Darjeeling,11800,4.0,Darjeeling
Cedar Inn,12980,4.5,Darjeeling
Little Tibet Resort,3024,4.5,Darjeeling
Hermitage Resort Darjeeling,4043,4.0,Darjeeling
Sanderling Resort Spa,3514,4.5,Darjeeling
Hotel Villa Everest,3572,4.5,Darjeeling
The Rope Resorts,1814,5.0,Darjeeling
Humro Himalayan Orchid,1848,4.0,Darjeeling
Omega Residency,5577,4.0,Darjeeling
Sunflower Group Of Hotels,1886,4.0,Darjeeling
Hotel Tower View,900,3.0,Darjeeling
Tin Tin Boutique Hotel,1794,5.0,Darjeeling
The Grace Inn,2240,3.5,Darjeeling
Ellaa Hotel,7064,4.5,Hyderabad
Hotel GreenPark,8288,4.5,Hyderabad
Avasa,11771,4.5,Hyderabad
Red Fox Hotel HITEC City,9209,4.5,Hyderabad
Oakwood Residence Kapil Hyderabad,19175,5.0,Hyderabad
Taj Krishna Hyderabad,14160,4.5,Hyderabad
The Park Hyderabad,7655,4.5,Hyderabad
Novotel Hyderabad Convention Centre,12213,4.5,Hyderabad
Marigold By Greenpark,9529,4.5,Hyderabad
Lemon Tree Hotel Gachibowli Hyderabad,10870,4.5,Hyderabad
Vivanta Hyderabad Begumpet,8400,4.5,Hyderabad
The Park Hyderabad,7655,4.5,Hyderabad
Taj Falaknuma Palace Hyderabad,59000,4.5,Hyderabad
Ellaa Hotel,6450,4.5,Hyderabad
Ibis Hyderabad HITEC City Hotel,7615,4.5,Hyderabad
Royalton Hotel,3953,4.0,Hyderabad
The Golkonda Resorts Spa,19339,4.5,Hyderabad
Mercure Hyderabad KCP,15187,4.5,Hyderabad
Leonia Holistic Destination,6071,4.5,Hyderabad
Radisson Blu Plaza Hotel Hyderabad Banjara Hills,12980,4.5,Hyderabad
The Manohar Hyderabad,5376,4.0,Hyderabad
Le Meridien Hyderabad,11800,5.0,Hyderabad
The Golkonda Hotel,10106,4.5,Hyderabad
Katriya Hotel Towers,2455,3.5,Hyderabad
Vivanta Hyderabad Begumpet,8400,4.5,Hyderabad
Hotel B Plus L,6373,4.5,Hyderabad
Aditya Hometel,3528,4.5,Hyderabad
Treebo Trend Address Inn,2653,5.0,Hyderabad
The Peerless Inn Hyderabad,2524,3.5,Hyderabad
Hotel Deccan Serai,8064,4.0,Hyderabad
Park Hyatt Hyderabad,22420,4.5,Hyderabad
Button Eyes Resort,5141,4.5,Hyderabad
Itsy By Treebo Tals Hytek,2006,4.0,Hyderabad
Treebo Trip Arastu Inn,1911,4.0,Hyderabad
DholariDhani,3780,3.0,Hyderabad
Fabhotel Pearl City,2386,3.0,Hyderabad
ITC Kakatiya Hyderabad a Luxury Collection Hotel,11118,4.5,Hyderabad
Sanskriti Vedic Retreat,6098,4.5,Rishikesh
HOLYWATER Hotel by Ganga Kinare,5600,5.0,Rishikesh
GANGA KINARE A Riverside Boutique Resort,13570,4.5,Rishikesh
Yog Niketan by Sanskriti,12980,4.5,Rishikesh
Sterling Palm Bliss Rishikesh,8878,4.5,Rishikesh
Live Free Hostel Rishikesh,2464,5.0,Rishikesh
HOLYWATER Hotel by Ganga Kinare,5600,5.0,Rishikesh
Veda Ayurveda Yoga Retreat,9362,5.0,Rishikesh
Holy River Hotel,5600,5.0,Rishikesh
Sanskriti Vedic Retreat,6098,4.5,Rishikesh
Kunwar Residency,7540,4.5,Rishikesh
Divine Resort Spa,13721,4.5,Rishikesh
Sanskriti Vedic Retreat,6098,4.5,Rishikesh
Camp Brook,11200,5.0,Rishikesh
The Vilana,5263,5.0,Rishikesh
Shaantam Resorts and Spa Rishikesh,10620,5.0,Rishikesh
Hotel Yog Vashishth,3584,4.5,Rishikesh
goSTOPS Rishikesh Tapovan,1680,4.0,Rishikesh
HOLYWATER Hotel by Ganga Kinare,5600,5.0,Rishikesh
Skyard Rishikesh Laxman Jhula,1427,5.0,Rishikesh
EllBee Ganga View,5543,4.5,Rishikesh
goSTOPS Rishikesh Lakshman Jhula,2240,4.0,Rishikesh
Aloha The Ganga Bliss,6552,4.0,Rishikesh
Avenue Resort,11032,4.5,Rishikesh
Hotel Natraj,6160,4.5,Rishikesh
Hotel The Great Ganga,6640,4.5,Rishikesh
Neer Ganga Resorts,8921,5.0,Rishikesh
Regenta Inn On The Ganges Rishikesh,5650,4.5,Rishikesh
Bliss Ganga Rishikesh,3357,4.5,Rishikesh
Hill Top Swiss Cottage,2715,4.0,Rishikesh
Luxury Aloha Apartments,4872,3.5,Rishikesh
The Hideaway Bedzzz Rishikesh by Leisure Hotels Group,4443,4.5,Rishikesh
Nishantam Rishikesh,4990,4.5,Rishikesh
